Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,start,,POINT,14.940,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,747,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,START,16.380,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,819,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,STOP,19.100,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,955,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,START,20.320,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,1016,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,STOP,25.060,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,1253,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,START,26.020,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,1301,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,STOP,26.780,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,1339,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,START,28.520,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,1426,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,STOP,29.340,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,1467,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,START,40.440,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,2022,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,STOP,44.100,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,2205,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,START,44.940,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,2247,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,STOP,46.940,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,2348,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,START,47.680,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,2384,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,STOP,48.680,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,2434,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,START,50.800,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,2540,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,STOP,54.360,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,2718,NA,
1F1-1B-COLD,2026-06-30 11:45:42.716,,104.180,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,0.0,184.080,50.000,,FR,,START,54.740,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/Behavioural-baseline/1F1-1B-COLD-a.mp4,2737,NA,
